"","x"
"1","hESC"
"2","hESC"
"3","hESC"
"4","hESC"
"5","hESC"
"6","hESC"
"7","hESC"
"8","hESC"
"9","hESC"
"10","hESC"
"11","hESC"
"12","hESC"
"13","hESC"
"14","hESC"
"15","hESC"
"16","hESC"
"17","hESC"
"18","hESC"
"19","hESC"
"20","hESC"
"21","hiPS"
"22","hiPS"
"23","hiPS"
"24","hiPS"
"25","hiPS"
"26","hiPS"
"27","hiPS"
"28","hiPS"
"29","hiPS"
"30","hiPS"
"31","hiPS"
"32","hiPS"
"33","Fibroblast"
"34","Fibroblast"
"35","Fibroblast"
"36","Fibroblast"
"37","Fibroblast"
"38","Fibroblast"
"39","hESC"
"40","hESC"
"41","hESC"
"42","Fibroblast"
"43","Fibroblast"
"44","Fibroblast"
"45","hiPS"
"46","hiPS"
"47","hiPS"
"48","hiPS"
"49","hiPS"
"50","hiPS"
"51","hESC"
"52","hESC"
"53","hESC"
"54","hESC"
"55","hESC"
"56","hiPS"
"57","hiPS"
"58","hiPS"
"59","hiPS"
"60","hiPS"
"61","hiPS"
"62","hiPS"
"63","hiPS"
"64","hiPS"
"65","hiPS"
"66","hESC"
"67","hESC"
"68","hESC"
"69","hiPS"
"70","hiPS"
"71","hiPS"
"72","Fibroblast"
"73","Fibroblast"
"74","Fibroblast"
"75","Fibroblast"
"76","Fibroblast"
"77","Fibroblast"
"78","Fibroblast"
"79","Fibroblast"
"80","Fibroblast"
"81","hiPS"
"82","hiPS"
"83","hiPS"
"84","hiPS"
"85","hiPS"
"86","hiPS"
"87","hiPS"
"88","hiPS"
"89","hiPS"
"90","Fibroblast"
"91","Fibroblast"
"92","Fibroblast"
"93","Fibroblast"
"94","Fibroblast"
"95","Fibroblast"
"96","Fibroblast"
"97","Fibroblast"
"98","Fibroblast"
"99","hiPS"
"100","hiPS"
"101","hiPS"
"102","hiPS"
"103","hiPS"
"104","hiPS"
"105","hiPS"
"106","hiPS"
"107","hiPS"
"108","hiPS"
"109","hiPS"
"110","hiPS"
"111","Fibroblast"
"112","Fibroblast"
"113","Fibroblast"
"114","hESC"
"115","hESC"
"116","hESC"
"117","hESC"
"118","hESC"
"119","hESC"
"120","hiPS"
"121","hiPS"
"122","hiPS"
"123","hiPS"
"124","hiPS"
"125","hiPS"
