"","x"
"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","1"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","1"
"28","1"
"29","1"
"30","1"
"31","1"
"32","1"
"33","1"
"34","1"
"35","1"
"36","1"
"37","1"
"38","1"
"39","3"
"40","3"
"41","3"
"42","3"
"43","3"
"44","3"
"45","3"
"46","3"
"47","3"
"48","3"
"49","3"
"50","3"
"51","3"
"52","3"
"53","3"
"54","3"
"55","3"
"56","3"
"57","3"
"58","3"
"59","3"
"60","2"
"61","2"
"62","2"
"63","2"
"64","2"
"65","2"
"66","2"
"67","2"
"68","2"
"69","2"
"70","2"
"71","2"
"72","2"
"73","2"
"74","2"
"75","2"
"76","2"
"77","2"
"78","2"
"79","2"
"80","2"
"81","2"
"82","2"
"83","2"
"84","2"
"85","2"
"86","2"
"87","2"
"88","2"
"89","2"
"90","2"
"91","2"
"92","2"
"93","2"
"94","2"
"95","2"
"96","2"
"97","2"
"98","2"
"99","2"
"100","2"
"101","2"
"102","2"
"103","2"
"104","2"
"105","2"
"106","2"
"107","2"
"108","2"
"109","2"
"110","2"
"111","4"
"112","4"
"113","4"
"114","4"
"115","4"
"116","4"
"117","4"
"118","4"
"119","4"
"120","4"
"121","4"
"122","4"
"123","4"
"124","4"
"125","4"
